4E9C (亜): アジア,次のランク,後に来ます,〜の特徴を持つ | Asia,rank next,come after,-ous
51A6 (冦): 敵,敵,復讐,恨み,確執 | foe,enemy,revenge,grudge,feud
51A2 (冢): マウンド,ヒロック | mound,hillock
51A9 (冩): 書く,ドロー,スケッチ,構成する | write,draw,sketch,compose
51AA (冪): パワー,指数 | power | two-stroke water radical or ice radical (no. 15)
51B3 (决): 決める,決定する,裁判官 | decide,determine,judge
51B1 (冱): フリーズ,冴える,明確にする,スキルを達成 | freeze,be cold,be clear,attain skill
51B2 (冲): 沖,外海,空高く上昇 | offing,open sea,rise high into sky
51B0 (冰): 氷,雹 | ice,hail
51B5 (况): さらに多くの,まだ少ない | still more,still less
51BD (冽): コールド | cold
51C5 (凅): 枯れます,ドループ,ラメ | wither,droop,lame
51C9 (凉): とても涼しい | nice and cool
51DB (凛): コールド | cold
51E0 (几): 表,テーブル筐体 | table,table enclosure,table or windy radical (no. 16)
8655 (處): 場所,ロケール,部門 | place,locale,department
51E9 (凩): 冬の風 | wintry wind,(kokuji)
51ED (凭): 寄り掛かる,寄り掛かる,凭れます | lean on,recline on,lie heavy
51F0 (凰): 凰 | female phoenix bird
51F5 (凵): オープンボックスエンクロージャ | open box enclosure,open box radical (no. 17)
51FE (凾): ボックス | box
5204 (刄): 刃,剣,エッジ | blade,sword,edge
520B (刋): カット,削る | cut,whittle
5214 (刔): かき出する,えぐる | scoop out,gouge
520E (刎): 首をはねます | decapitate
5227 (刧): 脅威,長い年齢 | threat,long ages
522A (刪): 切り倒する | cut down
522E (刮): 削り取る | scrape off
5233 (刳): クリア,穏やかな,コールド | clear,serene,cold
5239 (刹): 寺院 | temple
524F (剏): ベギン,破損する,ブレーク,秋 | begin,be damaged,break,fall
5244 (剄): 断頭 | beheading
524B (剋): 勝利 | victory
524C (剌): 反対,バイアスされました | opposed,biased
525E (剞): 彫る | carve
5254 (剔): 切断 | cutting
526A (剪): クリップ,スニップ,カット | clip,snip,cut
5274 (剴): 大鎌,適合 | scythe,suitability
5269 (剩): 残り物,残基,遺跡 | leftovers,residue,remains
5273 (剳): 鎌,滞在,残る | sickle,stay,remain
527F (剿): 破壊する | destroy
527D (剽): 脅威 | threat
528D (劍): 剣 | sword
5294 (劔): 剣 | sword
5292 (劒): 剣 | sword
5271 (剱): 剣 | sword
5288 (劈): ブレーク,涙,スプリット | break,tear,split
5291 (劑): 医学,ドラッグ,用量 | medicine,drug,dose
8FA8 (辨): 差別,処分する,区別する | discrimination,dispose of,distinguish
8FA7 (辧): 管理する,行う,ハンドル,扱う | manage,do,handle,deal with
52AC (劬): 疲れた,忙しく働く | become tired,work busily
52AD (劭): 推奨する,一生懸命に働く,綺麗な | recommend,work hard,beautiful
52BC (劼): 注意してください,ハード,努力する | be careful,hard,strive
52B5 (劵): 疲労になる,やめる | become fatigued,stop
52C1 (勁): 強い | strong
52CD (勍): 強い,激しい | strong,fierce
52D7 (勗): 勤める | be diligent
52DE (勞): 感謝,報酬 | thank for,reward for
52E3 (勣): 値する,成果 | merit,achievement
52E6 (勦): 破壊する,スチール | destroy,steal
98ED (飭): 正しい,正する | correct,rectify
52E0 (勠): コンバイン,協力する | combine,join forces
52F3 (勳): 労功,本案,ランク | meritorious deed,merits,rank
52F5 (勵): 努力する,奨励する | strive,encourage
52F8 (勸): 説得する,推奨する,アドバイス,奨励する,提供 | persuade,recommend,advise,encourage,offer
52F9 (勹): ラッピングエンクロージャ | wrapping enclosure,wrapping radical (no. 20)
5306 (匆): ラッシュ,急ぐ,慌てふためく | rush,hurry,be flustered
5308 (匈): 混乱,ハンガリー | turmoil,Hungary
7538 (甸): 帝国の首都周辺地域,周辺 | region around the imperial capital,outskirts
530D (匍): クロール,クリープ | crawl,creep
5310 (匐): クロール | crawl
530F (匏): ヒョウタン | gourd
5315 (匕): スプーン | spoon | box-on-side enclosure radical (no. 22)
5323 (匣): ボックス | box
532F (匯): 旋回,スワール | whirl,swirl
5331 (匱): 胸,財源,匱 | chest,coffer | hiding enclosure radical (no. 23)
5340 (區): 区,地区 | ward,district
5346 (卆): 兵士,プライベート,死にます | soldier,private,die
5345 (卅): 30 | thirty
4E17 (丗): 30 | thirty
5349 (卉): 草 | grass
534D (卍): 卍,ガメイディオン,卍形 | swastika,gammadion,fylfot
51D6 (凖): 対応する,に比例,合わせます,模倣する | correspond to,proportionate to,conform,imitate
535E (卞): 法律,ルール,発疹,性急な | law,rule,rash | seal radical (no. 26)
536E (卮): 大ゴブレット,適切な,フィッティング | large goblet,apt,fitting
5918 (夘): 野ウサギやウサギの兆候,干支の第四の兆候,5-7AM,東 | sign of the hare or rabbit,fourth sign of Chinese zodiac,5-7AM,east
537B (卻): 代わりに,それどころか,むしろ | instead,on the contrary,rather
5377 (卷): ボリューム,本,部 | volume,book,part
5382 (厂): 雁 | wild goose,trailing cliff radical (no. 27)
5396 (厖): 大,ミックス | large,mix
53A0 (厠): 当事者,トイレ | privy,toilet
53A6 (厦): 家 | house
53A5 (厥): それ | that
53AE (厮): カット,分割,コンパニオン,フォロワー | cut,divide,companion,follower
53B0 (厰): ワークショップ | workshop
53B6 (厶): 私,私自身 | I,myself,katakana mu radical (no. 28)
53C3 (參): 三,行き,到来,訪問 | three,going,coming,visiting
7C12 (簒): 奪う | rob
96D9 (雙): ペア,セット,比較,ペアのためのカウンタ | pair,set,comparison,counter for pairs
53DF (叟): 老人 | old person
66FC (曼): ワイド,綺麗な | wide,beautiful
71EE (燮): 適度な,軽減する,弱火で沸騰 | moderate,alleviate,boil over low heat
53EE (叮): 礼儀 | courtesy
53E8 (叨): 真に,優雅に,根拠もなく,貪欲に | truly,graciously,gratuitously,ravenously
53ED (叭): 開いた | open
53FA (叺): 俵 | straw bag,(kokuji)
5401 (吁): 叫び声 | exclamation
543D (吽): 樹皮,うなり声 | bark,growl
5440 (呀): 口を開く,裸の自分の歯,空の | open one\'s mouth,bare one\'s teeth,empty
542C (听): 口の広い笑い,聞く,ポンド（スターリング,ポンド） | open-mouthed laughter,listen to,pound (sterling, lb)
542D (吭): 喉,ネック,ピボット | throat,neck,pivot
543C (吼): 樹皮,ベイ,遠ぼえ,怒鳴る,とどろき,泣く | bark,bay,howl,bellow,roar,cry
542E (吮): 吸う | suck
5436 (吶): スタッター | stutter
5429 (吩): 命令を出する,前後もやし | give an order,sprout forth
541D (吝): けちな,けちな,スペアリング | miserly,stingy,sparing
544E (呎): 足 | foot
548F (咏): 朗読,詩,歌,構成する | recitation,poem,song,composing
5475 (呵): 叱る,上吹き,たしなめる | scold,blow on,reprove
548E (咎): 非難,酷評,戒告 | blame,censure,reprimand
545F (呟): つぶやき,愚痴,つぶやき | mutter,grumble,murmur
5471 (呱): 泣く | cry
5477 (呷): 一口,うるさい,騒々しさ | sip,noisy,quack
5470 (呰): 非難,酷評,損傷,この | blame,censure,damage,this
5492 (咒): スペル,呪い,のろい | spell,curse,malediction
547B (呻): うめき声,うめき声 | moan,groan
5480 (咀): 一口,食べる | bite,eat
5476 (呶): うるさい | noisy
5484 (咄): フフンと鼻であしらう,神が禁じます | pshaw,god forbid
5490 (咐): ブロー,コマンド | blow,command
5486 (咆): 樹皮,とどろき,怒る | bark,roar,get angry
54C7 (哇): へつらう子供の声,笑い子供の声 | fawning child\'s voice,laughing child\'s voice
54A2 (咢): outspokenly | outspokenly
54B8 (咸): すべて,同じ | all,same
54A5 (咥): 笑い,かむ,食べる | laugh,chew,eat
54AC (咬): 一口,かじる,かむ,噛み合う,波打つ | bite,gnaw,chew,gear with,dash against
54C4 (哄): 鳴り響く,反響する | resound,reverberate
54C8 (哈): 魚の学校,魚の口に移動,呼気音 | school of fish,fish\'s mouth moving,exhaling sound
54A8 (咨): 調査する | investigate
54AB (咫): ショート,スパン | short,span
54C2 (哂): 冷笑するような笑い,冷笑 | derisive laugh,sneer
54A4 (咤): （舌で）をクリック,アップブレイド,同情,げっぷ | clicking (with tongue),upbraid,pity,belch
54BE (咾): 音声 | voice
54BC (咼): 曲がった口,悪の,不正直 | crooked mouth,evil,dishonest
54D8 (哘): 招待,誘惑する | (kokuji),invite,entice
54E5 (哥): 兄 | big brother
54E6 (哦): 歌う | sing
550F (唏): 嘆く,悲しむ | lament,grieve
5514 (唔): 読み上げ音声 | reading voice
54FD (哽): すすり泣き,詰まっます | sob,get choked up
54EE (哮): とどろき,遠ぼえ,うなり声,怒鳴る | roar,howl,growl,bellow
54ED (哭): 泣く,うめき声,悲しむ | weep,moan,wail
54FA (哺): ナース,乳を飲む | nurse,suckle
54E2 (哢): チャープ,さえずり,さえずり | chirp,twitter,warble
5539 (唹): 笑い,笑顔 | laugh,smile
5540 (啀): 口論,でうなり声 | wrangle,growl at
5563 (啣): 口の中や歯の間に開催 | hold in mouth or between teeth
554C (啌): 怒った声,うがい,喉 | angry voice,gargle,throat
552E (售): 売る,人気がある | sell,be popular
555C (啜): 吸う,一口 | suck,sip
5545 (啅): うるさい,つつく,チャーピング,さえずり | noisy,peck at,chirping,twittering
5556 (啖): 食べる | eat
5557 (啗): 魅力,誘惑する | allure,entice
5538 (唸): うめき声,とどろき | groan,roar
5533 (唳): 泣く,鳥の警笛,蝉のdroning | cry,honking of birds,droning of cicadas
555D (啝): 続く,子供のいません | follow,childless
5599 (喙): 嘴 | beak
5580 (喀): 嘔吐 | vomit
54AF (咯): けんか | quarrel
558A (喊): 泣く,コール | cry,call
559F (喟): うめき声 | moan
557B (啻): 比類のありません,単に | incomparable,merely
557E (啾): 泣く,泣く,いななき | cry,whimper,neigh
5598 (喘): パンツ,あえぎ,喘ぐ | pant,gasp,breathe hard
559E (喞): 憤慨話する | speak resentfully
55AE (單): 1,シングル,シンプル | one,single,simple
557C (啼): 樹皮,チャープ,泣く | bark,chirp,cry
5583 (喃): おしゃべり,上のガラガラ | chatter,rattle on
55A9 (喩): メタファー,比較する | metaphor,compare
5587 (喇): おしゃべり,上のガラガラ | chatter,rattle on
55A8 (喨): 澄んだ声 | clear voice
55DA (嗚): 泣く,ああ,悲しいかな | weep,ah,alas
55C5 (嗅): 香り,スニッフ,香り | smell,sniff,scent
55DF (嗟): 満足すること,悲しむ,ああ | be satisfied,grieve,ah
55C4 (嗄): ハスキー | hoarse
55DC (嗜): 以下のような,味,控えめな | like,taste,modest
55E4 (嗤): 笑い,冷やかし | laugh,ridicule
55D4 (嗔): 怒る | be angry
5614 (嘔): 嘔吐,吐き気 | vomit,nauseated
55F7 (嗷): うるさい | noisy
5616 (嘖): 叱る,苦しめる,懲らしめる | scold,torment,chastise
55FE (嗾): SIC \ '日,卵の上,扇動する | sic\'em,egg on,instigate
55FD (嗽): リンス,ウォッシュ,うがい | rinse,wash,gargle
561B (嘛): 小麦 | wheat
55F9 (嗹): バリュアブル,とりとめのありません | voluble,garrulous
564E (噎): チョーク,もみ消する | choke,smother
5650 (噐): 容器,レセプタクル,実装する,楽器,能力 | vessel,receptacle,implement,instrument,ability
71DF (營): キャンプ,実行する,ビルド,実施（ビジネス） | camp,perform,build,conduct (business)
5634 (嘴): 嘴,ビル | beak,bill
5636 (嘶): いななき,泣き言を言う | neigh,whinny
5632 (嘲): 冷やかし,侮辱 | ridicule,insult
5638 (嘸): どうやって,確かに,私が言ってむ | how,indeed,I dare say
566B (噫): 叫び声,げっぷ,げっぷ | exclamation,burp,belch
5664 (噤): 黙れ | shut up
562F (嘯): とどろき,遠ぼえ,感情的に暗唱,無関心を装う | roar,howl,recite emotionally,feign indifference
566C (噬): 一口 | bite
566A (噪): うるさいこと | be noisy
5686 (嚆): コール | call
5680 (嚀): 親切 | kindness
568A (嚊): 鼻から呼吸,鼻息,妻,1 \ 'sの老婦人 | breathing through the nose,snorting,wife,one\'s old lady
56A0 (嚠): クリアな音声 | a clear sound
5694 (嚔): くしゃみ | sneeze
568F (嚏): くしゃみ | sneeze
56A5 (嚥): 飲み込む | swallow
56AE (嚮): ガイド,直接,傾向がある,好意 | guide,direct,incline to,favor
56B6 (嚶): チャーピング,一緒に鳥のさえずり | chirping,birds singing together
56B4 (嚴): 厳密性,重症度,剛性 | strictness,severity,rigidity
56C2 (囂): うるさい,騒々しい | noisy,boisterous
56BC (嚼): 一口 | bite
56C1 (囁): ささやく,つぶやき | whisper,murmur
56C3 (囃): 音楽を再生）,同行する,時間を打つ,冷やかし,冷やかす,拍手を送る | play (music),accompany,beat time,banter,jeer,applaud
56C0 (囀): 歌う,チャープ,さえずり,おしゃべり | sing,chirp,warble,chatter
56C8 (囈): 馬鹿話 | foolish talk
56CE (囎): 地名で使用 | used in place names,(kokuji)
56D1 (囑): 要求,メッセージを送る | request,send a message
56D3 (囓): かじる | gnaw
56D7 (囗): ボックス | box,box or enclosure radical (no. 31)
56EE (囮): デコイ,ルアー,スツール鳩 | decoy,lure,stool pigeon
56F9 (囹): 刑務所 | prison
5700 (圀): 国 | country
56FF (囿): ゲーム保存,牧草地,庭園 | game preserve,pasture,garden
5704 (圄): 刑務所,逮捕 | prison,arrest
5709 (圉): 刑務所,馬の入札,きゅう務員 | prison,horse tender,ostler
5708 (圈): 球,サークル,半径,範囲 | sphere,circle,radius,range
570B (國): 国 | country
570D (圍): 同封する,囲む,取り囲む,保存する,格納,キープ | enclose,surround,encircle,preserve,store,keep
5713 (圓): 円,サークル,円形 | yen,circle,round
5718 (團): 協会 | association
5716 (圖): お絵かき,計画 | drawing,plan
55C7 (嗇): けちな,けちな,スペアリング | miserly,stingy,sparing
571C (圜): 円形,行き渡る | round,go around
5726 (圦): 水門,注ぎ口,水門,水圧管 | sluice,spout,floodgate,penstock,(kokuji)
5737 (圷): 低地 | low-lying land,(kokuji)
5738 (圸): 急斜面 | steep slope,(kokuji)
574E (坎): 落とし穴 | pitfall
573B (圻): 首都を囲む領域 | region surrounding the capital
5740 (址): 廃墟 | ruins
574F (坏): ボウル | bowl
5769 (坩): ジャー,ポット | jar,pot
57C0 (埀): 失望させる,サスペンド,ハンド,ダウン | let down,suspend,hand,down
5788 (垈): 沼地,湿原,泥だらけのフィールド | swamp,wetlands,muddy fields,(kokuji)
5761 (坡): 堤防,ダム,スロープ,バンク | dike,dam,slope,bank
577F (坿): スロープ,丘 | slope,hill
5789 (垉): 崩壊,ブレーク | collapse,break
5793 (垓): 境界,境界,階段,百京 | border,boundary,staircase,hundred quintillion
57A0 (垠): リミット,境界 | limit,boundary
57B3 (垳): 崖,固有名詞で使用 | cliff,used in proper names,(kokuji)
57A4 (垤): 蟻塚,丘 | anthill,hill
57AA (垪): 固有名詞で使用 | used in proper names
57B0 (垰): 峠,古代のくに,低地 | mountain pass,ancient kuni,low ground,(kokuji)
57C3 (埃): ほこり | dust
57C6 (埆): 不毛の土地 | barren land
57D4 (埔): 中国の地名で使用 | used in Chinese place names
57D2 (埒): ピケット,境界,解決する | picket,limits,be settled
57D3 (埓): 淡い,杭柵,境界,終わる | pale,picket fence,limits,come to an end
580A (堊): ごまかし | whitewash
57D6 (埖): ごみ,ごみ | garbage,refuse,(kokuji)
57E3 (埣): 不毛の土地 | barren land
580B (堋): 埋め込む,アーチェリーターゲットマウンド | bury,archery target mound
